"Sakurai Miu","사쿠라이 미우","-","J-Group","A","1994","t","67"
"Ahn JungMin","안유진","-","K-Group","A","2003","t","72"
"Aratake Rinka","아라타케 린카","-","J-Group","B","2004","t","74"
"Ando Rinka","宮脇咲良","안도 린카","J-Group","A","1998","t","40"
"Arai Risako","아라이 리사코","-","J-Group","C","1995","t","90"
"Cai Bing","後藤萌咲","차이빙","C-Group","C","2001","t","5"
"Chang Ching","矢吹奈子","장찡","C-Group","A","2001","t","45"
"Chen HsinWei","王怡人","천신웨이","C-Group","C","2000","t","95"
"Chia Yi","지아이","-","C-Group","B","1999","t","93"
"Chien TzuLing","젠쯔링","-","C-Group","A","2000","t","85"
"Cho HaEun","竹内美宥","타케우치 미유","K-Group","B","1996","t","21"
"Choi HyeRin","本田仁美","혼다 히토미","K-Group","A","2001","t","6"
"Choi YeYoung","松井珠理奈","마츠이 쥬리나","K-Group","B","1997","s","71"
"Choi YuJin","山田野絵","야마다 노에","K-Group","F","1999","s","59"
"Cui WenMeiXiu","추이원메이시우","-","Urban Works","C","2001","s","81"
"Ezaki Hikaru","白間美瑠","에자키 히카루","NMB48","D","1997","s","63"
"Fu YaNing","푸야닝","-","Stone Music Entertainment","F","1997","s","76"
"Fujimoto Ayaka","高橋朱里","후지모토 아야카","AKB48","A","1997","s","20"
"Gu YiZhou","구이저우","-","Stone Music Entertainment","F","2001","s","77"
"Guinn Myah","김시현","-","Yuehua Entertainment","A","1999","s","94"
"Han DaNa","宮崎美穂","미야자키 미호","K-Group","D","1993","s","10"
"Hayase Hana","하야세 하나","-","Pledis Entertainment","F","2001","s","66"
"Hayashi Fuko","하야시 후코","-","Stone Music Entertainment","D","1999","s","78"
"Hiyajo Nagomi","千葉恵里","히야조 나고미","AKB48","F","2003","s","4"
"Ho SzeChing","호쓰칭","-","8D Creative","F","1999","s","1"
"Hsu NienTzu","쉬니엔츠","-","Blockberry Creative","A","2000","s","24"
"Huang XingQiao","岩立沙穂","황씽치아오","AKB48","D","1994","s","8"
"Huening Bahiyyih","김채원","-","Woollim Entertainment","B","2000","s","87"
"Huh JiWon","나고은","-","Rainbow Bridge World","A","1999","s","68"
"Ikema Ruan","村川緋杏","이케마 루안","HKT48","F","1999","s","42"
"Inaba Vivienne","小嶋真子","이나바 비비안","AKB48","B","1997","s","9"
"Ito Miyu","이토 미유","-","Million Market","B","1999","s","52"
"Jung JiYoon","武藤十夢","무토 토무","AKB48","D","1994","s","12"
"Joung Min","김도아","-","FENT","C","2003","s","33"
"Kamikura Rei","카미쿠라 레이","-","MNH Entertainment","A","2004","s","57"
"Kamimoto Kotone","下尾みう","카미모토 코토네","AKB48","D","2001","s","19"
"Kang YeSeo","배은영","-","Stone Music Entertainment","B","1997","s","75"
"Kanno Miyu","칸노 미유","-","Banana Culture","A","2002","s","23"
"Kawaguchi Yurina","中西智代梨","카와구치 유리나","AKB48","C","1995","s","14"
"Kim BoRa","村瀬紗英","무라세 사에","NMB48","C","1997","s","61"
"Kim ChaeHyun","김초연","-","A team","C","2001","s","2"
"Kim DaYeon","박서영","-","Individual Trainee","D","1999","s","50"
"Kim DoAh","박해윤","-","FNC Entertainment","D","1996","s","35"
"Kim HyeRim","本村碧唯","모토무라 아오이","HKT48","B","1997","s","41"
"Kim SeIn","王珂","왕크어","HOW Entertainment","D","2000","s","47"
"Kim SuYeon","浅井七海","아사이 나나미","AKB48","D","2000","s","3"
"Kim YeEun","조가현","-","Starship Entertainment","B","2003","s","73"
